time,ssid,raw_rssi,filtered_rssi,distance,x,y
306599,TestNetwork1,-54,-54.00,0.33,1.99,0.84
306599,TestNetwork3,-53,-53.00,0.30,1.99,0.84
306599,TestNetwork2,-56,-56.00,0.44,1.99,0.84
310158,TestNetwork1,-52,-53.66,0.31,1.99,0.84
310158,TestNetwork3,-43,-51.30,0.30,1.99,0.84
310158,TestNetwork2,-52,-55.32,0.40,1.99,0.84
313698,TestNetwork1,-53,-53.56,0.31,1.99,0.84
313698,TestNetwork3,-44,-50.23,0.30,1.99,0.84
313698,TestNetwork2,-54,-55.13,0.39,1.99,0.84
317248,TestNetwork1,-56,-53.88,0.32,1.99,0.84
317248,TestNetwork3,-43,-49.29,0.30,1.99,0.84
317248,TestNetwork2,-56,-55.24,0.39,1.99,0.84
320798,TestNetwork1,-53,-53.78,0.32,1.99,0.84
320798,TestNetwork3,-46,-48.91,0.30,1.99,0.84
320798,TestNetwork2,-55,-55.21,0.39,1.99,0.84
324348,TestNetwork1,-56,-54.01,0.33,1.99,0.84
324348,TestNetwork3,-49,-48.92,0.30,1.99,0.84
324348,TestNetwork2,-56,-55.30,0.40,1.99,0.84
327898,TestNetwork1,-53,-53.91,0.33,1.99,0.84
327898,TestNetwork3,-49,-48.93,0.30,1.99,0.84
327898,TestNetwork2,-57,-55.46,0.41,1.99,0.84
331448,TestNetwork1,-51,-53.65,0.31,1.99,0.84
331448,TestNetwork3,-42,-48.29,0.30,1.99,0.84
331448,TestNetwork2,-55,-55.42,0.40,1.99,0.84
334998,TestNetwork1,-52,-53.51,0.31,1.99,0.84
334998,TestNetwork3,-47,-48.18,0.30,1.99,0.84
334998,TestNetwork2,-53,-55.21,0.39,1.99,0.84
338558,TestNetwork1,-52,-53.38,0.30,1.99,0.84
338558,TestNetwork3,-45,-47.92,0.30,1.99,0.84
338558,TestNetwork2,-55,-55.20,0.39,1.99,0.84
342108,TestNetwork1,-52,-53.28,0.30,1.99,0.84
342108,TestNetwork3,-43,-47.54,0.30,1.99,0.84
342108,TestNetwork2,-52,-54.95,0.38,1.99,0.84
345658,TestNetwork1,-52,-53.18,0.30,1.99,0.84
345658,TestNetwork3,-49,-47.65,0.30,1.99,0.84
345658,TestNetwork2,-55,-54.95,0.38,1.99,0.84
349208,TestNetwork1,-53,-53.17,0.30,1.99,0.84
349208,TestNetwork3,-50,-47.82,0.30,1.99,0.84
349208,TestNetwork2,-54,-54.88,0.37,1.99,0.84
352768,TestNetwork1,-57,-53.43,0.30,1.99,0.84
352768,TestNetwork3,-52,-48.10,0.30,1.99,0.84
352768,TestNetwork2,-54,-54.82,0.37,1.99,0.84
356328,TestNetwork1,-53,-53.40,0.30,1.99,0.84
356328,TestNetwork3,-36,-47.30,0.30,1.99,0.84
356328,TestNetwork2,-54,-54.77,0.37,1.99,0.84
359888,TestNetwork1,-54,-53.44,0.31,1.99,0.84
359888,TestNetwork3,-46,-47.22,0.30,1.99,0.84
359888,TestNetwork2,-56,-54.85,0.37,1.99,0.84
363448,TestNetwork1,-47,-53.04,0.30,1.99,0.84
363448,TestNetwork3,-39,-46.70,0.30,1.99,0.84
363448,TestNetwork2,-62,-55.30,0.40,1.99,0.84
367018,TestNetwork1,-48,-52.73,0.30,1.99,0.84
367018,TestNetwork3,-42,-46.41,0.30,1.99,0.84
367018,TestNetwork2,-64,-55.83,0.43,1.99,0.84
370588,TestNetwork1,-50,-52.57,0.30,1.99,0.84
370588,TestNetwork3,-46,-46.39,0.30,1.99,0.84
370588,TestNetwork2,-60,-56.08,0.44,1.99,0.84
374159,TestNetwork1,-49,-52.36,0.30,1.99,0.84
374159,TestNetwork3,-42,-46.13,0.30,1.99,0.84
374159,TestNetwork2,-60,-56.31,0.46,1.99,0.84
377728,TestNetwork1,-48,-52.11,0.30,1.98,0.84
377728,TestNetwork3,-41,-45.84,0.30,1.98,0.84
377728,TestNetwork2,-62,-56.64,0.48,1.98,0.84
381298,TestNetwork1,-47,-51.82,0.30,1.98,0.85
381298,TestNetwork3,-41,-45.56,0.30,1.98,0.85
381298,TestNetwork2,-63,-57.00,0.50,1.98,0.85
384868,TestNetwork1,-48,-51.60,0.30,1.98,0.85
384868,TestNetwork3,-42,-45.36,0.30,1.98,0.85
384868,TestNetwork2,-61,-57.22,0.52,1.98,0.85
388438,TestNetwork1,-47,-51.35,0.30,1.97,0.85
388438,TestNetwork3,-43,-45.23,0.30,1.97,0.85
388438,TestNetwork2,-63,-57.54,0.54,1.97,0.85
392018,TestNetwork1,-47,-51.11,0.30,1.97,0.85
392018,TestNetwork3,-42,-45.05,0.30,1.97,0.85
392018,TestNetwork2,-63,-57.84,0.57,1.97,0.85
395598,TestNetwork1,-49,-51.00,0.30,1.97,0.85
395598,TestNetwork3,-50,-45.32,0.30,1.97,0.85
395598,TestNetwork2,-57,-57.79,0.56,1.97,0.85
399188,TestNetwork1,-47,-50.78,0.30,1.97,0.85
399188,TestNetwork3,-41,-45.09,0.30,1.97,0.85
399188,TestNetwork2,-62,-58.02,0.58,1.97,0.85
402788,TestNetwork1,-46,-50.53,0.30,1.97,0.86
402788,TestNetwork3,-41,-44.87,0.30,1.97,0.86
402788,TestNetwork2,-61,-58.18,0.59,1.97,0.86
406378,TestNetwork1,-48,-50.40,0.30,1.97,0.86
406378,TestNetwork3,-45,-44.88,0.30,1.97,0.86
406378,TestNetwork2,-61,-58.33,0.60,1.97,0.86
409957,TestNetwork1,-53,-50.53,0.30,1.97,0.86
409957,TestNetwork3,-34,-44.31,0.30,1.97,0.86
409957,TestNetwork2,-58,-58.31,0.60,1.97,0.86
413578,TestNetwork1,-52,-50.61,0.30,1.96,0.86
413578,TestNetwork3,-33,-43.73,0.30,1.96,0.86
413578,TestNetwork2,-64,-58.60,0.63,1.96,0.86
417118,TestNetwork1,-55,-50.83,0.30,1.96,0.86
417118,TestNetwork3,-34,-43.22,0.30,1.96,0.86
417118,TestNetwork2,-63,-58.83,0.65,1.96,0.86
420657,TestNetwork1,-52,-50.89,0.30,1.95,0.87
420657,TestNetwork3,-35,-42.80,0.30,1.95,0.87
420657,TestNetwork2,-68,-59.30,0.69,1.95,0.87
424208,TestNetwork1,-53,-51.00,0.30,1.94,0.87
424208,TestNetwork3,-34,-42.35,0.30,1.94,0.87
424208,TestNetwork2,-72,-59.95,0.76,1.94,0.87
427758,TestNetwork1,-52,-51.05,0.30,1.93,0.88
427758,TestNetwork3,-33,-41.88,0.30,1.93,0.88
427758,TestNetwork2,-70,-60.46,0.82,1.93,0.88
431308,TestNetwork1,-51,-51.05,0.30,1.93,0.88
431308,TestNetwork3,-34,-41.48,0.30,1.93,0.88
431308,TestNetwork2,-62,-60.54,0.82,1.93,0.88
434858,TestNetwork1,-53,-51.15,0.30,1.92,0.89
434858,TestNetwork3,-40,-41.40,0.30,1.92,0.89
434858,TestNetwork2,-66,-60.81,0.86,1.92,0.89
438408,TestNetwork1,-54,-51.29,0.30,1.91,0.90
438408,TestNetwork3,-41,-41.38,0.30,1.91,0.90
438408,TestNetwork2,-70,-61.28,0.91,1.91,0.90
441958,TestNetwork1,-50,-51.23,0.30,1.90,0.90
441958,TestNetwork3,-36,-41.11,0.30,1.90,0.90
441958,TestNetwork2,-66,-61.51,0.95,1.90,0.90
445509,TestNetwork1,-52,-51.27,0.30,1.89,0.91
445509,TestNetwork3,-39,-41.01,0.30,1.89,0.91
445509,TestNetwork2,-66,-61.74,0.98,1.89,0.91
449058,TestNetwork1,-52,-51.30,0.30,1.88,0.92
449058,TestNetwork3,-39,-40.91,0.30,1.88,0.92
449058,TestNetwork2,-71,-62.20,1.04,1.88,0.92
